Year,wisdom,genius,intellect,consciousness,intuition,imagination,soul,reasoning,judgment,discernment,algorithm,software,database,optimization,automation,computer,processor,artificial intelligence,computer program,data processing,machine learning,neural network,deep learning
1970,3.184469828234147e-05,1.3280817201338242e-05,4.84250165383412e-06,4.778985561736956e-06,2.368696076718588e-06,1.8283767450426404e-05,3.393073299269299e-05,4.9423771134015866e-06,1.8283767450426404e-05,3.060041129179708e-07,2.191779039935635e-07,4.645410090429649e-06,5.816406761787057e-07,2.4123220999378776e-06,1.058165101783643e-06,9.34088652757255e-06,7.705508144041203e-07,9.435614358578957e-08,7.993235969216887e-07,1.5956056999806393e-06,1.3244861008522722e-07,7.133308181313502e-08,7.2166488160312275e-09
1971,3.07511066141344e-05,1.3249111683803113e-05,4.693532115144058e-06,4.603511251925638e-06,2.208364223635438e-06,1.7864477325688466e-05,3.3785939427691795e-05,5.3116347664806575e-06,1.7864477325688466e-05,3.316060890600464e-07,2.0456419349029694e-07,4.8019989890461374e-06,1.155027247733551e-06,2.583644212023546e-06,1.2143351684864231e-06,1.0229280797314537e-05,5.380129339635963e-07,1.233182777256629e-07,9.24615519442655e-07,1.677669407740536e-06,1.6703230535854034e-07,6.05176588761308e-08,0.0
1972,3.0578347317876815e-05,1.174332147810024e-05,4.664087284331392e-06,4.989690056270899e-06,2.437960933136762e-06,1.766967996404631e-05,3.228234773835218e-05,4.476949804053317e-06,1.766967996404631e-05,3.483726725057907e-07,2.1258892682181113e-07,5.400096989617296e-06,8.554972529419175e-07,2.4935997740433668e-06,1.4596682120967694e-06,1.157553350330998e-05,6.592419018113851e-07,1.2105354200678166e-07,8.970227799403049e-07,1.552335025430879e-06,1.0171779575510668e-07,7.562744100062706e-08,6.727970245601585e-09
1973,3.079778947251404e-05,1.2347742895613228e-05,4.714259722070697e-06,5.222050224017352e-06,2.4244861121828455e-06,1.7622317632896644e-05,3.189314193133632e-05,5.178201903939543e-06,1.7622317632896644e-05,3.3238995457195674e-07,6.653387387483606e-08,6.489601759970358e-06,1.0462721426189268e-06,2.6957120628826695e-06,1.2933562248007189e-06,1.2117739566193203e-05,6.152892293666607e-07,1.3389981041431365e-07,7.77251199290775e-07,1.8398075721713712e-06,1.502644033153842e-07,8.229889378016247e-08,1.406232942311161e-09
1974,2.928246845651653e-05,1.2131365348566133e-05,4.838593744993367e-06,5.0494393492002545e-06,2.3381116949795927e-06,1.7105733619872983e-05,3.236209053544206e-05,5.026228154556762e-06,1.7105733619872983e-05,3.290476314404902e-07,2.2282594261689726e-07,6.6763363845454695e-06,1.4664505845735596e-06,2.8476688311673042e-06,1.3376133315296864e-06,1.1857573769054226e-05,9.091809432909591e-07,1.1590233876755914e-07,1.008172182349526e-06,1.8259261935195078e-06,1.6579725878840513e-07,5.264396602246572e-08,4.625606830102463e-09
1975,3.039855594018081e-05,1.2692502716358331e-05,4.677597103399689e-06,5.12363352742287e-06,2.536036403077752e-06,1.7519702977530814e-05,3.2886327208559553e-05,4.903154356868429e-06,1.7519702977530814e-05,3.579193054190689e-07,2.98264536521858e-07,7.181481573720717e-06,1.4732416480140443e-06,3.02020402611478e-06,1.4074246732727365e-06,1.2581740272421638e-05,7.50325086728529e-07,8.374293719864489e-08,9.611158245147318e-07,2.0560470229322195e-06,1.3931436168407814e-07,9.666809025490634e-08,0.0
1976,3.032865380847562e-05,1.3054879207103245e-05,4.5886042481212805e-06,5.477976262598757e-06,2.5393767706132607e-06,1.6327720724610338e-05,3.2939254034568444e-05,5.239583361063986e-06,1.6327720724610338e-05,3.134071183849888e-07,3.6374783362477546e-07,8.896734808425101e-06,2.0358122948418935e-06,2.5403621888710738e-06,1.4799856496356346e-06,1.5395567916092833e-05,1.0554248576437856e-06,1.3370187808598445e-07,9.762335797204524e-07,1.9455336653530165e-06,1.4115056405587654e-07,6.148326971824237e-08,0.0
1977,2.92763134895263e-05,1.2241942300500692e-05,4.8841495390966945e-06,5.5648412688063235e-06,2.4959175580498467e-06,1.6941315132592038e-05,3.171103396487259e-05,5.000402663105844e-06,1.6941315132592038e-05,3.4554324846322505e-07,3.3644248291391315e-07,8.229816167496013e-06,2.1244701684566794e-06,2.985289338211529e-06,1.5621449860157874e-06,1.651576668296651e-05,1.07015751635575e-06,1.2027577214630928e-07,1.039598347746813e-06,2.1099175008276984e-06,1.0477983361682785e-07,9.310094263865013e-08,1.3445687754236237e-08
1978,2.9414234869730056e-05,1.2707642629000432e-05,4.551234013819886e-06,6.160064331922598e-06,2.4199955707952326e-06,1.742949446086939e-05,3.165624265293781e-05,5.120168067296266e-06,1.742949446086939e-05,3.4019901664647563e-07,2.781631213425745e-07,9.188655949397208e-06,2.3737630177238443e-06,2.899280068850841e-06,1.682987021998627e-06,1.875949919842656e-05,1.1696486415135196e-06,1.7517788486166958e-07,1.139111939686111e-06,2.377880434123396e-06,1.8749398264011808e-07,8.794851309673025e-08,1.780863208373457e-09
1979,2.7264816026724344e-05,1.1616093034980333e-05,4.6338472997585165e-06,5.729812424048695e-06,2.3394840468690475e-06,1.6826680460678633e-05,2.9701364473424564e-05,5.0322201769897235e-06,1.6826680460678633e-05,3.5168506158224566e-07,2.9385432415255303e-07,1.0300767163189431e-05,2.7732272119659654e-06,3.2381130491248816e-06,1.6284555201437703e-06,1.9069788224528565e-05,1.3309410416784395e-06,1.868926452561713e-07,1.0127253532984788e-06,2.314914424920114e-06,1.8632758146243636e-07,9.448328825384642e-08,0.0
