Year,GBR,NLD,FRA,BEL,SWE,DEU,ESP,PRT,POL,ITA,CHN,IND,JPN
1774,2834.0,4573.083778966132,1805.2689766352944,2242.1612903225805,1578.0,1768.1805197879717,1305.5044157956934,1912.2137318374998,982.0,2499.127252926429,991.2,1051.5294117647059,1127.72
1775,2895.0,4485.739750445632,1745.3429542872477,2245.2096774193546,1525.0,1758.8209670338342,1375.7998252900334,1976.5408647074998,991.0,2499.720799358664,989.5,1050.8431372549019,1135.0
1776,2962.0,4431.3725490196075,1853.3686424461362,2248.2580645161293,1562.0,1778.6160634890678,1320.3105789540477,1928.7105285174998,995.0,2500.314345790899,987.8,1050.1568627450981,1142.28
1777,3017.0,4578.431372549019,1811.2680202796646,2251.3064516129034,1557.0,1782.3582032220347,1352.73147915013,2044.7564064199998,987.0,2500.9078922231347,986.1,1049.4705882352941,1149.56
1778,2966.0,4497.326203208556,1795.7002711192126,2254.3548387096776,1588.0,1776.260279059851,1320.2984441294839,1936.6980578399998,990.0,2501.50143865537,984.4,1048.7843137254902,1156.84
1779,2931.0,4254.010695187166,1905.6894537186392,2257.4032258064517,1607.0,1798.5022211023675,1309.4073385385927,2011.6905278925,998.0,2502.094985087605,982.7,1048.0980392156862,1164.1200000000001
1780,3049.0,4552.5846702317285,1979.35097427388,2260.451612903226,1594.0,1812.0632663612355,1269.8264379998618,1886.5986559875003,1004.0,2502.68853151984,981.0,1047.4117647058824,1171.4
1781,3102.0,4108.734402852049,1920.4523904029481,2263.5,1481.0,1780.327923472202,1378.2130817360398,1968.8980543050002,1003.0,2503.2820779520753,978.4,1046.7254901960785,1178.68
1782,3048.0,4336.898395721924,1954.6961909841505,2266.548387096774,1525.0,1776.6688176481512,1412.3577802459981,1955.4289839175,1001.0,2503.875624384311,975.8,1046.0392156862745,1185.96
1783,3027.0,4195.187165775401,1875.7896248962354,2269.5967741935483,1457.0,1794.4166278278274,1417.3935963813913,1943.8049505875001,991.0,2504.469170816546,973.2,1045.3529411764705,1193.24
1784,3009.0,4213.01247771836,1888.5302194591018,2272.6451612903224,1535.0,1793.6388002929555,1328.805422708073,2109.2380834525,979.0,2505.062717248781,970.6,1044.6666666666667,1200.52
1785,2962.0,4169.34046345811,1889.9576234238525,2275.6935483870966,1497.0,1791.5960571553865,1361.8218935317927,2063.010166945,968.0,2505.6562636810163,968.0,1043.9803921568628,1207.8
1786,2981.0,3768.2709447415327,1934.07978340002,2278.7419354838707,1500.0,1796.1755717481603,1332.231727067189,2059.2246240475,955.0,2506.2498101132514,965.4,1043.2941176470588,1215.08
1787,2898.0,3950.9803921568623,1974.7497202511643,2281.7903225806454,1549.0,1778.0863059884973,1416.8103227865104,1959.6208707074998,958.0,2506.8433565454866,962.8,1042.6078431372548,1222.36
1788,2861.0,3726.381461675579,2016.1776715836418,2284.8387096774195,1478.0,1780.9388253673544,1426.3734664177548,1998.6620497024999,964.0,2507.436902977722,960.2,1041.921568627451,1229.64
1789,2888.0,3876.1140819964344,1698.0148264685777,2287.8870967741937,1615.0,1761.9445125669308,1420.4880325975425,1821.72834844,960.0,2508.0304494099573,957.6,1041.235294117647,1236.92
1790,3072.0,4198.752228163992,1763.7655499257262,2290.935483870968,1602.0,1774.1470719697895,1453.910455595192,1747.5901543100001,942.0,2508.6239958421925,955.0,1040.549019607843,1244.2
1791,3046.0,4246.880570409981,1765.843879005231,2293.983870967742,1661.0,1808.887615674113,1441.345699761059,1788.9248565825,928.0,2509.2175422744276,952.1259,1039.862745098039,1251.48
1792,3134.0,4398.395721925133,1618.2172336430308,2297.032258064516,1576.0,1820.4911517153014,1381.3808908185053,1806.2772605149999,923.0,2509.8110887066628,949.2518,1039.1764705882354,1258.76
1793,3051.0,4480.392156862745,1601.7513197255046,2300.0806451612902,1482.0,1800.3861979274113,1392.372181376885,1811.51921951,921.0,2510.4046351388984,946.3777,1038.4901960784314,1266.04
1794,2925.0,4665.775401069518,1593.6379270921648,2303.1290322580644,1492.0,1790.6516187264072,1361.1940075276482,1659.0970664449999,931.0,2510.9981815711335,943.5036,1037.8039215686274,1273.32
1795,3207.0,3846.7023172905524,1597.654574919548,2306.1774193548385,1506.0,1777.836522797558,1345.3446481869514,1656.6132489725,940.0,2511.5917280033686,940.6295,1037.1176470588234,1280.6
1796,3233.0,4506.238859180035,1633.3367610297842,2309.2258064516127,1589.0,1784.9217823719623,1320.342484898628,1744.5472005325003,953.0,2512.185274435604,937.7554,1036.4313725490197,1287.88
1797,3167.0,4661.319073083779,1652.1222372572686,2312.2741935483873,1492.0,1836.4881036190334,1330.7962601461734,1711.0407632499998,958.0,2512.778820867839,934.8813,1035.7450980392157,1295.16
1798,3161.0,4725.490196078431,1706.167550679424,2315.3225806451615,1431.0,1821.0794404173362,1406.4189960272292,1558.4987353845,937.0,2513.372367300074,932.0072,1035.0588235294117,1302.44
1799,3207.0,4332.442067736185,1737.0356479074496,2318.3709677419356,1417.0,1786.253531872122,1386.4896899760301,1551.67835838925,925.0,2513.9659137323097,929.1331,1034.3725490196077,1309.72
1800,3343.0,4184.491978609625,1659.647773688536,2321.4193548387098,1366.0,1786.9178508017596,1317.9115515082096,1458.752128106,902.0,2514.559460164545,926.259,1033.686274509804,1317.0
1801,3351.0,4110.516934046345,1579.590035657268,2324.467741935484,1353.0,1780.7714607577316,1351.7874079644746,1391.34143095675,882.7272727272727,2515.15300659678,923.7331,1033.0,1316.88
1802,3360.0,4337.789661319072,1583.469331566723,2327.516129032258,1417.0,1796.5462366749964,1337.6243436200648,1413.84536631975,863.4545454545455,2510.9133892236714,921.2072000000001,1028.0,1316.76
