Year,fire engine,steam engine,coal barge,coal wharf,coal boat,coal trade,canal boat,coal waggon,coal cart,coal owner,sea coal,coal field,steam boat,steam power,water carriage,land carriage
1788,1.247248947931569e-07,4.582234782089602e-08,3.2810249120781722e-09,1.1474629183335798e-09,7.448203323942185e-10,3.876528121996411e-07,0.0,2.205449093192361e-09,1.0527725358144835e-09,9.591921257268154e-09,2.854833766211381e-09,3.501932626421527e-08,7.06277043199017e-09,7.448203323942185e-10,1.9248600377100695e-07,3.8729446316665417e-07
1789,1.3547619407258287e-07,5.8669055899177435e-08,3.2810249120781722e-09,1.1474629183335798e-09,0.0,3.302997271248387e-07,0.0,2.205449093192361e-09,2.1233315423379348e-09,1.1197759767053332e-08,3.3901132694731065e-09,3.501932626421527e-08,6.317950099595951e-09,0.0,2.2811541100509203e-07,4.522442001838759e-07
1790,1.5605030004702973e-07,6.31299020678203e-08,2.583099638948332e-09,1.6357435406177956e-09,0.0,3.533708751644683e-07,4.882806222842159e-10,2.205449093192361e-09,2.6116121646221504e-09,1.1755031709930514e-08,3.1804686186274823e-09,3.6972448753352135e-08,6.317950099595951e-09,1.9531224891368636e-09,2.3716974340004526e-07,4.965900473052898e-07
1791,1.3448575738753528e-07,7.419920830134938e-08,1.016742309393034e-09,1.6357435406177956e-09,0.0,3.3775784759524997e-07,1.3594152153168742e-09,1.0746590601533918e-09,3.4827467576548088e-09,7.31982775979491e-09,4.4871705398971275e-09,3.740801604986846e-08,6.317950099595951e-09,1.9531224891368636e-09,2.5862577095787334e-07,4.891648472948873e-07
1792,1.3817395024976316e-07,6.830412959045264e-08,1.016742309393034e-09,2.02191025826843e-09,3.8616671765063463e-10,2.911860324924679e-07,1.3594152153168742e-09,1.0746590601533918e-09,4.255080192956078e-09,8.09216119509618e-09,5.013875632136384e-09,3.818034948516973e-08,0.0,1.9531224891368636e-09,2.622126394109208e-07,5.417607025849845e-07
1793,1.2043527521297749e-07,6.386756824992648e-08,1.4700471633639317e-09,1.836123348602265e-09,1.2927764255924297e-09,2.6331837789582225e-07,2.2660249232586693e-09,4.3556729651632915e-10,4.255080192956078e-09,7.453069431459118e-09,5.013875632136384e-09,3.669394375650979e-09,9.066097079417951e-10,2.406427343107761e-09,2.747413308920191e-07,5.217104696190031e-07
1794,1.3938047414642695e-07,7.976460507969868e-08,4.5330485397089756e-10,1.327752193905748e-09,1.2927764255924297e-09,2.4068756131003154e-07,2.2660249232586693e-09,4.3556729651632915e-10,4.255080192956078e-09,7.682253944096828e-09,3.857539969993289e-09,3.8985788882886905e-09,9.066097079417951e-10,2.406427343107761e-09,2.703826993410985e-07,5.211271424546535e-07
1795,1.4780524030097046e-07,1.0125308236297315e-07,4.5330485397089756e-10,1.327752193905748e-09,1.2927764255924297e-09,2.357737461774637e-07,4.205614872227719e-09,1.405362271000854e-09,3.2023076571415945e-09,7.682253944096828e-09,4.827334944477814e-09,3.8985788882886905e-09,3.3310972393150807e-09,2.406427343107761e-09,2.737536297965042e-07,4.751007460462071e-07
1796,1.511372045927471e-07,1.034283277436186e-07,1.4547684009816715e-09,1.8284839674111352e-09,1.2927764255924297e-09,2.5619968572040565e-07,1.1716591601691156e-08,2.406825818011628e-09,3.1332121976289174e-09,1.0583001268977504e-08,4.292055441216089e-09,4.399310661794078e-09,3.8318290128204674e-09,2.406427343107761e-09,2.640311760972379e-07,4.3933855360072424e-07
1797,1.430302469478712e-07,1.120811283783496e-07,1.4547684009816715e-09,1.986702516784281e-09,1.6160260114211106e-09,2.4013717693703386e-07,1.1874810151064302e-08,2.406825818011628e-09,2.6449315753447014e-09,9.922877123155364e-09,5.743272270462642e-09,7.294931801484137e-09,4.801577738585852e-09,1.4676286503550223e-08,2.825412163279647e-07,4.2910288503402884e-07
