Year,coal_by_water,coal_by_steam,fire_engine,steam_engine,canal
1877,1.7206795216148876,0.7412090427091672,3.696762941477313e-07,1.7557031891815962e-06,3.092472798016388e-05
1878,1.7228860717011725,0.7401465133630541,3.549885759314618e-07,1.8053735045344053e-06,3.027032263552038e-05
1879,1.9539374508951588,0.7554772359825735,3.427358511284443e-07,1.9004258839621407e-06,2.998340408209645e-05
1880,2.0814506540465207,0.7684018505742731,3.2922870575800645e-07,1.9857027544795917e-06,3.0235322161128613e-05
1881,2.1331488662236047,0.7845978625409923,3.233196658974131e-07,2.091166330891221e-06,3.0429303868524065e-05
1882,2.2313503712813034,0.7790574310726508,3.189100295587975e-07,2.1525490378085773e-06,3.1016200539722506e-05
1883,2.329523369634277,0.7654487475404763,3.274909780819664e-07,2.1851206578763334e-06,3.1172102483521614e-05
1884,2.4165113594794008,0.7714631059716169,3.353013693997907e-07,2.1893980764226787e-06,3.0490311473840848e-05
1885,2.5153678231553016,0.7885928102530216,3.360766933318311e-07,2.2264652151144607e-06,3.0396341441831153e-05
1886,2.386973459512169,0.7909015476096114,3.435534056604541e-07,2.212942912852408e-06,3.0477874263721916e-05
1887,2.3327954805072832,0.7844237768768451,3.777532161361056e-07,2.1582118604003753e-06,3.0140235269625135e-05
1888,2.3430689974582575,0.771406130317298,4.163228522559491e-07,2.1067999763805086e-06,2.9631308539787176e-05
1889,2.523456218107182,0.7930829160225765,4.79263487055245e-07,2.1380708078920307e-06,2.9055761323044343e-05
1890,2.7875806770179947,0.8290305003284235,5.049128576826791e-07,2.1980831011855377e-06,2.8797900345775167e-05
1891,3.0604760930246924,0.8458116490167492,5.578450839038851e-07,2.278004980585787e-06,2.9181500264842596e-05
1892,3.324785994488244,0.8630780517894756,5.989651136977565e-07,2.321598295956002e-06,2.9621195738270346e-05
1893,3.569770793405619,0.8694747829886179,6.273522704499815e-07,2.3547142973256996e-06,2.968458751898392e-05
1894,3.867643845129951,0.8716264655525322,6.37732950638435e-07,2.39424334072932e-06,2.996452401151016e-05
1895,4.021331750460335,0.8758036831725685,6.892553707465205e-07,2.4243129895954292e-06,3.0169191242228927e-05
1896,4.153154110061727,0.8624410111182482,6.777696057724825e-07,2.4039296541949236e-06,3.05773285487833e-05
1897,4.1168582438004355,0.8490055119096208,6.621865834079342e-07,2.4309395355105934e-06,3.144012147718708e-05
1898,4.091365409652257,0.8450441633269326,6.486044317928948e-07,2.4046699991231435e-06,3.143556417247358e-05
1899,4.031986987942583,0.8131225566892651,6.517225415336724e-07,2.362417626500246e-06,3.103955205006059e-05
1900,4.092044877747647,0.8023720701290561,6.811582835553054e-07,2.3410004814650165e-06,3.1244118417816935e-05
